id,user,rating,title,content,created_at,updated_at,order,total_likes,total_replies,is_liked,images,dish,replies
6c9755f4-92e8-481f-bcb7-5037ad2d6d1d,"{'id': '02a8324c-d9bc-4403-b7fd-47830d5e2be1', 'name': 'Lisa Luna', 'phone_number': '+84965770371', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar6.jpg'}",3,Good,Ok,2024-10-28T17:21:44.355266+07:00,2024-10-28T17:21:44.798902+07:00,5668cb3a-6463-4e99-93de-0d28ca5e0b97,0,0,False,"[{'id': '26d41f02-d347-42cc-89af-46f4c308bcb9', 'image': 'http://127.0.0.1:8000/images/review/dishreview/2024/10/28/6c9755f4-92e8-481f-bcb7-5037ad2d6d1d/scaled_Acer_Wallpaper_05_3840x2400.jpg', 'content_type': 'dishreview', 'object_id': '6c9755f4-92e8-481f-bcb7-5037ad2d6d1d', 'created_at': '2024-10-28T17:21:44.883851+07:00'}]",0fedc6f2-51ce-4986-bbcf-bd0f3b68ab07,[]
33ca2bec-2ba2-4fd0-a601-069a3ce262d9,"{'id': '02a8324c-d9bc-4403-b7fd-47830d5e2be1', 'name': 'Lisa Luna', 'phone_number': '+84965770371', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar6.jpg'}",3,Dang Minh Duc,Dang Minh Duc B21DCCN236,2024-10-11T21:36:08.318942+07:00,2024-10-11T21:38:39.152367+07:00,9d11dada-287a-4ec3-8443-cb48a53ec028,0,0,False,"[{'id': '0c51ff50-5390-4201-99e2-a7a12d14309a', 'image': 'http://127.0.0.1:8000/images/review/dishreview/2024/10/11/33ca2bec-2ba2-4fd0-a601-069a3ce262d9/scaled_Acer_Wallpaper_05_3840x2400.jpg', 'content_type': 'dishreview', 'object_id': '33ca2bec-2ba2-4fd0-a601-069a3ce262d9', 'created_at': '2024-10-11T21:36:08.478864+07:00'}, {'id': '7b6b6c42-2645-4e49-9505-f67d019885e1', 'image': 'http://127.0.0.1:8000/images/review/dishreview/2024/10/11/33ca2bec-2ba2-4fd0-a601-069a3ce262d9/scaled_Acer_Wallpaper_05_3840x2400_BPsYe0L.jpg', 'content_type': 'dishreview', 'object_id': '33ca2bec-2ba2-4fd0-a601-069a3ce262d9', 'created_at': '2024-10-11T21:38:39.170443+07:00'}, {'id': 'efe705b4-8588-45c3-a814-fb7a3fa73b1a', 'image': 'http://127.0.0.1:8000/images/review/dishreview/2024/10/11/33ca2bec-2ba2-4fd0-a601-069a3ce262d9/scaled_Acer_Wallpaper_05_3840x2400_wlh8Kvz.jpg', 'content_type': 'dishreview', 'object_id': '33ca2bec-2ba2-4fd0-a601-069a3ce262d9', 'created_at': '2024-10-11T21:38:39.177600+07:00'}]",88fd18c0-03ff-45e5-8135-e86ad2fd365a,[]
1c21277a-6cfc-43ed-a4b2-ab8fa09e8f05,"{'id': '02a8324c-d9bc-4403-b7fd-47830d5e2be1', 'name': 'Lisa Luna', 'phone_number': '+84965770371', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar6.jpg'}",3,asdads,asd,2024-10-11T21:34:40.328237+07:00,2024-10-11T21:38:39.229374+07:00,9d11dada-287a-4ec3-8443-cb48a53ec028,0,0,False,"[{'id': 'b2dd82c9-79e0-4c72-a13e-12e66acebcca', 'image': 'http://127.0.0.1:8000/images/review/dishreview/2024/10/11/1c21277a-6cfc-43ed-a4b2-ab8fa09e8f05/scaled_Acer_Wallpaper_05_3840x2400.jpg', 'content_type': 'dishreview', 'object_id': '1c21277a-6cfc-43ed-a4b2-ab8fa09e8f05', 'created_at': '2024-10-11T21:34:40.658047+07:00'}]",24b050b5-e693-479b-a30a-4d24f7594ced,[]
04eda20d-44f0-4d5a-b852-402ba937d3d2,"{'id': '51e8202b-438c-41bc-ba11-eb84e346f25a', 'name': 'Henry Harrell', 'phone_number': '+84197314174', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar4.jpg'}",5,Whose important including though gun available.,"Animal five adult suddenly four room those. Third full three skin.
Base bit forget. Million maybe trade important require site material. Perhaps apply reason light be something.",2024-10-11T14:36:42.958121+07:00,2024-10-11T14:36:42.958121+07:00,8613868f-0c3f-4883-9d40-bdc2b7484c50,0,0,False,[],f1da759a-2cb8-4479-badc-b80a53eebd3f,[]
d10a39b9-b130-4a18-b972-b1b7bdeef522,"{'id': '51e8202b-438c-41bc-ba11-eb84e346f25a', 'name': 'Henry Harrell', 'phone_number': '+84197314174', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar4.jpg'}",3,Ever recognize important him cell itself.,Population into ahead explain eat condition perhaps. Citizen gas test yourself agency save very. Ten character send third.,2024-10-11T14:36:42.952320+07:00,2024-10-11T14:36:42.952320+07:00,8613868f-0c3f-4883-9d40-bdc2b7484c50,0,0,False,[],d59474b6-132f-4d6d-a6a2-18cfb64702f0,[]
f9695ccf-624f-4927-ac91-a2897e912be8,"{'id': '51e8202b-438c-41bc-ba11-eb84e346f25a', 'name': 'Henry Harrell', 'phone_number': '+84197314174', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar4.jpg'}",2,Which report exactly work method.,"Official beat decision key. Leave father middle performance successful.
Family cup standard. Mean affect inside score some. Drop boy moment until field anyone.",2024-10-11T14:36:42.945379+07:00,2024-10-11T14:36:42.945379+07:00,8613868f-0c3f-4883-9d40-bdc2b7484c50,0,0,False,[],bd75f1ca-e677-4fa6-ac9a-ab18315634f5,[]
59192a28-7e82-4361-8051-78010c97f9b0,"{'id': '51e8202b-438c-41bc-ba11-eb84e346f25a', 'name': 'Henry Harrell', 'phone_number': '+84197314174', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar4.jpg'}",2,Quality Mrs when mention.,Bag during show method. Action who however arrive reach protect them writer. Local use strong wear.,2024-10-11T14:36:42.939501+07:00,2024-10-11T14:36:42.939501+07:00,8613868f-0c3f-4883-9d40-bdc2b7484c50,0,0,False,[],bc2571d3-c1dd-4119-94c1-ab2296529cf0,[]
a7753d0e-5311-4df1-b013-a659b0b4b505,"{'id': '51e8202b-438c-41bc-ba11-eb84e346f25a', 'name': 'Henry Harrell', 'phone_number': '+84197314174', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar4.jpg'}",5,Pay born performance provide.,"Different road degree west beautiful hard. Stage improve TV social interesting. Particularly lay serious arm.
Situation administration common computer collection win decade.",2024-10-11T14:36:42.933659+07:00,2024-10-11T14:36:42.933659+07:00,8613868f-0c3f-4883-9d40-bdc2b7484c50,0,0,False,[],a5c2b45d-d159-4ba3-ba0f-04097a643abf,[]
b24181ec-37eb-4f42-9da7-126fc18e2c5d,"{'id': '51e8202b-438c-41bc-ba11-eb84e346f25a', 'name': 'Henry Harrell', 'phone_number': '+84197314174', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar4.jpg'}",5,Suffer president year big together national century.,Him second statement last behind end. Support record significant your moment still. Safe quality account show. Buy three traditional very doctor PM.,2024-10-11T14:36:42.924896+07:00,2024-10-11T14:36:42.924896+07:00,8613868f-0c3f-4883-9d40-bdc2b7484c50,0,0,False,[],9dbb4f39-bc2d-466a-ad1e-5d64af9db7ef,[]
de757bfb-ad2f-4a85-bb68-3b0e1377e1e4,"{'id': '51e8202b-438c-41bc-ba11-eb84e346f25a', 'name': 'Henry Harrell', 'phone_number': '+84197314174', 'avatar': 'http://127.0.0.1:8000/images/avatar/user/avatar4.jpg'}",5,Language interview on laugh almost area property.,"Attack practice paper thus thing. Even know yeah decade various.
Service ago hospital point throw end yet it. Stock minute of.",2024-10-11T14:36:42.916675+07:00,2024-10-11T14:36:42.916675+07:00,8613868f-0c3f-4883-9d40-bdc2b7484c50,0,0,False,[],51e81e7e-dd55-42bc-b4e4-04608b35cf1b,[]
