id,user,name,avatar,gender,date_of_birth
1,1934ce49-6556-4c41-a1b0-2895b0a6c76f,Christina Fisher,http://127.0.0.1:8000/images/avatar/user/avatar2.jpg,MALE,1933-01-02T00:00:00+07:00
2,9c7df48d-02d2-4c09-8900-e42fb3c9a7e2,Lindsey Davis,http://127.0.0.1:8000/images/avatar/user/avatar2.jpg,MALE,1974-05-22T00:00:00+08:00
3,265a6dec-62ef-47d4-b6be-2d1be4e1f1be,Paula Ramirez,http://127.0.0.1:8000/images/avatar/user/avatar8.jpg,FEMALE,1912-05-25T00:00:00+07:00
4,7781e74e-4fcf-4227-86c3-68a6bba4f8cf,Jennifer Evans,http://127.0.0.1:8000/images/avatar/user/avatar3.jpg,FEMALE,1961-06-01T00:00:00+08:00
5,343b600b-d0d2-4ec6-a7b6-505b9f044111,Kyle Bishop,http://127.0.0.1:8000/images/avatar/user/avatar4.jpg,FEMALE,2001-10-17T00:00:00+07:00
6,f081e905-a8a7-4206-be26-668e96cb0c32,James Rush,http://127.0.0.1:8000/images/avatar/user/avatar6.jpg,FEMALE,1948-08-03T00:00:00+08:00
7,b328164f-4968-4b75-b1a6-26d56780ad4e,Patricia Ramos,http://127.0.0.1:8000/images/avatar/user/avatar8.jpg,MALE,1953-12-11T00:00:00+08:00
8,a2cbe1ec-754e-4a4f-be73-c500c0857713,Michael Fitzgerald,http://127.0.0.1:8000/images/avatar/user/avatar8.jpg,MALE,1927-03-05T00:00:00+07:00
9,575201db-e763-48c2-b6b4-f6b6e529b56f,Nathan Hall,http://127.0.0.1:8000/images/avatar/user/avatar7.jpg,FEMALE,1999-02-15T00:00:00+07:00
10,cba20f21-c3d9-40a9-adba-c8ccb73debb2,Kevin Chang,http://127.0.0.1:8000/images/avatar/user/avatar3.jpg,FEMALE,1918-11-11T00:00:00+07:00
11,eae47aa0-2662-4a28-ac5a-409ec8d24fc8,William Sims,http://127.0.0.1:8000/images/avatar/user/avatar7.jpg,FEMALE,1984-08-21T00:00:00+07:00
12,e4ef3597-7531-4e59-bdbd-a557127bb342,Steve Ellis,http://127.0.0.1:8000/images/avatar/user/avatar4.jpg,MALE,1940-05-07T00:00:00+07:00
13,7a519b9f-c378-449f-b8a5-c66542331da6,Jason Simmons,http://127.0.0.1:8000/images/avatar/user/avatar8.jpg,MALE,1916-02-25T00:00:00+07:00
14,75a3bee1-e585-46da-bc88-dd464a14090f,Zachary Mcdonald,http://127.0.0.1:8000/images/avatar/user/avatar3.jpg,FEMALE,1967-12-10T00:00:00+08:00
15,cf693e0e-72e1-4d7b-98fe-07dbad7d769c,Catherine Harrington,http://127.0.0.1:8000/images/avatar/user/avatar8.jpg,MALE,1932-03-15T00:00:00+07:00
16,c1e39c76-8df9-4db3-84ab-2f6af4abe0d8,Heather Williams,http://127.0.0.1:8000/images/avatar/user/avatar7.jpg,MALE,1961-08-04T00:00:00+08:00
17,84a681b0-2c04-4bff-989b-0c4635b715f3,Jeremy Lawrence,http://127.0.0.1:8000/images/avatar/user/avatar1.jpg,FEMALE,1960-03-12T00:00:00+08:00
18,7358ded3-a245-40de-9d1d-1b7c87c923cc,Alexander Roberson,http://127.0.0.1:8000/images/avatar/user/avatar3.jpg,MALE,2015-06-28T00:00:00+07:00
19,546be718-1fa7-4d2b-828f-d4e9e10df361,Jonathan Adams,http://127.0.0.1:8000/images/avatar/user/avatar1.jpg,FEMALE,2005-12-21T00:00:00+07:00
20,2bcdb8bc-dbae-42e4-a38a-ab7d74803e3f,Samantha Newman,http://127.0.0.1:8000/images/avatar/user/avatar2.jpg,MALE,1930-05-14T00:00:00+07:00
21,c27cf52c-53bd-49ce-b0c5-af2d95712faf,Mr. Paul Mcclure,http://127.0.0.1:8000/images/avatar/user/avatar2.jpg,FEMALE,1970-01-24T00:00:00+08:00
22,a3c6011a-d1f2-4189-ba65-cc9e10b56c25,Samuel Casey,http://127.0.0.1:8000/images/avatar/user/avatar1.jpg,MALE,1967-04-18T00:00:00+08:00
23,cc4e9d8e-af6a-4e2e-a6d6-066a66a2ffcc,Kevin Walker,http://127.0.0.1:8000/images/avatar/user/avatar2.jpg,FEMALE,1968-08-16T00:00:00+08:00
24,a5af4505-5742-4adc-ab45-7ed9fbc5f10e,Todd Fitzgerald,http://127.0.0.1:8000/images/avatar/user/avatar4.jpg,MALE,1956-07-08T00:00:00+07:00
